Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
DGCR8_1_binding,DGCR8,1,K562,chr1_+_26696032_26697540_26729650_26729863_26731151_26731318_ENCSR031RRO_CTRL-1,0.004,-0.0016543954,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_-_137112230_137112111_137112029_137111940_137111754_137111689_ENCSR031RRO_CTRL-1,0.003,-0.0018768458,1.0
DGCR8_1_binding,DGCR8,1,K562,chr1_-_182391759_182391678_182390852_182390496_182388750_182388571_ENCSR031RRO_CTRL-1,0.001,-0.055468347,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136670949_136671014_136671925_136672088_136672263_136672677_ENCSR031RRO_CTRL-1,-0.004,-0.0015803218,1.0
DGCR8_1_binding,DGCR8,1,K562,chr2_-_53970778_53970542_53949283_53949142_53948537_53948420_ENCSR661HEL_CTRL-1,0.008,-0.0018768458,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136670168_136670330_136670949_136671014_136671925_136671993_ENCSR031RRO_CTRL-1,-0.005,-0.037315357,1.0
DGCR8_1_binding,DGCR8,1,K562,chr3_-_15082608_15082366_15081334_15081054_15080802_15080731_ENCSR031RRO_CTRL-1,-0.011,-0.0017300886,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136665791_136665817_136668240_136668362_136668556_136668673_ENCSR031RRO_CTRL-1,-0.001,-0.0014966365,1.0
DGCR8_1_binding,DGCR8,1,K562,chr7_+_2375974_2377075_2378688_2378766_2379133_2379242_ENCSR031RRO_CTRL-1,0.001,-0.0015871209,1.0
DGCR8_1_binding,DGCR8,1,K562,chr17_+_30117153_30117332_30118079_30118173_30172541_30172598_ENCSR031RRO_CTRL-1,-0.001,-0.0018768458,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_+_136669913_136670009_136670949_136671014_136671925_136671993_ENCSR031RRO_CTRL-1,-0.03,-0.037315357,1.0
DGCR8_1_binding,DGCR8,1,K562,chr9_-_98796539_98796132_98790606_98790103_98784876_98784831_ENCSR031RRO_CTRL-1,-0.071,-0.055468347,1.0
DGCR8_1_binding,DGCR8,1,K562,chr15_-_65286366_65286252_65271072_65270934_65266768_65266561_ENCSR031RRO_CTRL-1,-0.01,-0.0018768458,1.0
