Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
FXR2_1_binding,FXR2,1,HepG2,chr2_-_53948537_53948420_53942224_53942158_53940000_53939955_ENCSR003EKR_CTRL-1,-0.005,-0.037756186,0.00027905792,-0.038035244,1.0
FXR2_1_binding,FXR2,1,HepG2,chr4_+_122325229_122325320_122325854_122325917_122328103_122328357_ENCSR042QTH_CTRL-1,0.019,-0.010588389,0.000031860513,-0.010620249,1.0
FXR2_1_binding,FXR2,1,HepG2,chr1_+_39479797_39480009_39480919_39481030_39484600_39484730_ENCSR003EKR_CTRL-1,0.001,-0.010588389,0.000031860513,-0.010620249,1.0
FXR2_1_binding,FXR2,1,HepG2,chr16_-_8930397_8930292_8929543_8929368_8923413_8923214_ENCSR003EKR_CTRL-1,0.088,0.014511524,-0.00033652218,0.014848046,0.022880357761112996
FXR2_1_binding,FXR2,1,HepG2,chr6_-_159780566_159780442_159780087_159779894_159779261_159778984_ENCSR067GHD_CTRL-1,-0.004,-0.011069449,0.00009800629,-0.0111674545,1.0
FXR2_1_binding,FXR2,1,HepG2,chr17_+_67959540_67959875_67963332_67963506_67964211_67964404_ENCSR003EKR_CTRL-1,-0.139,-0.07147337,0.00044479818,-0.07191817,0.1588034474810282
FXR2_1_binding,FXR2,1,HepG2,chr12_-_292925_292758_286207_286125_285662_285455_ENCSR003EKR_CTRL-1,-0.34,-0.01209758,0.00009800629,-0.012195586,0.29887494584394825
FXR2_1_binding,FXR2,1,HepG2,chr2_-_53948537_53948420_53940000_53939955_53937540_53937390_ENCSR003EKR_CTRL-1,0.035,-0.0110359,0.00007935237,-0.011115252,1.0
FXR2_1_binding,FXR2,1,HepG2,chr14_-_31133414_31133237_31129307_31128611_31128006_31127784_ENCSR003EKR_CTRL-1,-0.0,-0.012326584,-0.00012980725,-0.012196777,1.0
FXR2_1_binding,FXR2,1,HepG2,chr17_+_50746541_50746702_50749218_50749344_50750500_50750550_ENCSR003EKR_CTRL-1,-0.023,0.0349269,-0.0036189477,0.038545847,0.5260357896284722
FXR2_1_binding,FXR2,1,HepG2,chr11_-_14477015_14476918_14475945_14475784_14474615_14474494_ENCSR042QTH_CTRL-1,-0.003,-0.010584556,0.000029839755,-0.010614395,1.0
FXR2_1_binding,FXR2,1,HepG2,chr9_+_128609121_128609284_128609650_128609665_128611713_128611845_ENCSR003EKR_CTRL-1,0.034,-0.029057955,0.008444088,-0.037502043,0.6270883097784329
FXR2_1_binding,FXR2,1,HepG2,chr17_-_64171199_64171099_64160933_64160800_64154967_64154841_ENCSR003EKR_CTRL-1,0.052,-0.010588389,0.000031860513,-0.010620249,1.0
FXR2_1_binding,FXR2,1,HepG2,chr9_+_128591476_128591625_128592982_128593042_128594174_128594373_ENCSR003EKR_CTRL-1,-0.299,0.014612077,0.00058062596,0.014031451,0.031766572970653724
FXR2_1_binding,FXR2,1,HepG2,chr2_+_108772867_108773046_108775731_108775936_108777129_108777231_ENCSR003EKR_CTRL-1,-0.018,-0.012326905,0.00010203238,-0.012428937,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_+_99360235_99360361_99360464_99360549_99361147_99361820_ENCSR104ABF_CTRL-1,-0.022,0.02241087,-0.00055684295,0.022967713,1.0
FXR2_1_binding,FXR2,1,HepG2,chr14_+_55650568_55650637_55651286_55651375_55651889_55651927_ENCSR003EKR_CTRL-1,0.015,-0.0120592,0.00007068255,-0.012129882,0.42654790682908145
FXR2_1_binding,FXR2,1,HepG2,chr11_-_2969904_2969802_2964751_2964679_2959909_2959769_ENCSR003EKR_CTRL-1,-0.004,0.014511524,-0.00033652218,0.014848046,1.0
FXR2_1_binding,FXR2,1,HepG2,chr1_+_39300209_39300362_39302923_39303078_39309569_39309696_ENCSR003EKR_CTRL-1,-0.035,-0.0032945909,-0.0007405203,-0.0025540707,1.0
FXR2_1_binding,FXR2,1,HepG2,chr1_+_39372478_39372596_39378460_39378523_39379202_39379444_ENCSR003EKR_CTRL-1,-0.065,-0.014488781,0.00008344358,-0.014572225,0.6623327637648323
FXR2_1_binding,FXR2,1,HepG2,chr1_+_28993329_28993542_28997214_28997319_29011864_29011907_ENCSR042QTH_CTRL-1,0.126,-0.011069449,0.00009800629,-0.0111674545,0.38936429663725775
FXR2_1_binding,FXR2,1,HepG2,chr3_-_47855360_47855247_47853352_47853162_47852938_47850689_ENCSR003EKR_CTRL-2,0.1,-0.011077121,0.00010099318,-0.011178114,1.0
FXR2_1_binding,FXR2,1,HepG2,chr21_+_37172594_37172744_37182773_37182913_37185705_37185774_ENCSR003EKR_CTRL-1,0.003,-0.0120592,0.00007068255,-0.012129882,1.0
FXR2_1_binding,FXR2,1,HepG2,chr14_+_32146262_32146340_32149901_32150033_32154620_32154633_ENCSR067GHD_CTRL-1,-0.012,-0.012816015,0.00004417475,-0.012860189,1.0
FXR2_1_binding,FXR2,1,HepG2,chr17_+_67964211_67964404_67966571_67966656_67975771_67975958_ENCSR003EKR_CTRL-1,-0.03,0.02241087,-0.00055684295,0.022967713,1.0
FXR2_1_binding,FXR2,1,HepG2,chr1_+_39427454_39427614_39427960_39428287_39429241_39429326_ENCSR225PRV_CTRL-1,0.067,0.021009538,-0.00056928734,0.021578826,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_+_54659153_54659266_54659935_54659999_54664452_54664691_ENCSR003EKR_CTRL-1,-0.002,0.0021600283,0.005196005,-0.0030359768,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_-_53906693_53906597_53904156_53904024_53901559_53901349_ENCSR067GHD_CTRL-1,0.039,-0.0110359,0.00007935237,-0.011115252,1.0
FXR2_1_binding,FXR2,1,HepG2,chr16_-_3778172_3778010_3777657_3777612_3774693_3774568_ENCSR003EKR_CTRL-1,-0.071,-0.011069449,0.00009800629,-0.0111674545,1.0
FXR2_1_binding,FXR2,1,HepG2,chr17_+_80383676_80383928_80385038_80385171_80385537_80385621_ENCSR104ABF_CTRL-1,-0.045,-0.00934024,0.000032165884,-0.009372406,1.0
FXR2_1_binding,FXR2,1,HepG2,chr4_-_186597792_186597681_186597171_186596539_186595826_186595688_ENCSR003EKR_CTRL-1,-0.01,-0.010588389,0.000031860513,-0.010620249,1.0
FXR2_1_binding,FXR2,1,HepG2,chr3_+_58126601_58126762_58130740_58130908_58132807_58132931_ENCSR003EKR_CTRL-1,0.03,-0.001201074,-0.00080899225,-0.00039208174,1.0
FXR2_1_binding,FXR2,1,HepG2,chr21_+_37191333_37191424_37192111_37192213_37195674_37196036_ENCSR003EKR_CTRL-1,-0.005,0.029912993,-0.0013021575,0.03121515,1.0
FXR2_1_binding,FXR2,1,HepG2,chr15_-_61890400_61890164_61884269_61884127_61882736_61882595_ENCSR003EKR_CTRL-1,-0.056,-0.010588389,0.000031860513,-0.010620249,1.0
FXR2_1_binding,FXR2,1,HepG2,chr20_+_3017815_3017913_3021308_3021428_3024471_3024621_ENCSR003EKR_CTRL-1,0.416,-0.037756186,0.00027905792,-0.038035244,6.73949157764436e-6
FXR2_1_binding,FXR2,1,HepG2,chr14_-_21362947_21362793_21362324_21362196_21361213_21361077_ENCSR003EKR_CTRL-1,-0.004,0.0067214235,-0.00046754433,0.007188968,1.0
FXR2_1_binding,FXR2,1,HepG2,chr17_+_31248983_31249119_31252937_31253000_31258343_31258502_ENCSR003EKR_CTRL-2,0.045,-0.0110359,0.00007935237,-0.011115252,1.0
FXR2_1_binding,FXR2,1,HepG2,chr9_-_104788054_104787919_104786976_104786872_104786390_104786297_ENCSR003EKR_CTRL-1,0.047,-0.0110359,0.00007935237,-0.011115252,0.0786557331759244
FXR2_1_binding,FXR2,1,HepG2,chr2_-_53874494_53874338_53869538_53869375_53866880_53866746_ENCSR003EKR_CTRL-1,0.019,-0.012819278,0.00004570527,-0.012864984,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_-_197398581_197398460_197398116_197397984_197396328_197396055_ENCSR003EKR_CTRL-1,-0.001,-0.013213766,0.00007068255,-0.0132844485,1.0
FXR2_1_binding,FXR2,1,HepG2,chr13_-_77243160_77243058_77233263_77233155_77225554_77225434_ENCSR067GHD_CTRL-1,0.035,-0.010604132,0.000031730367,-0.010635862,0.28957644899189533
FXR2_1_binding,FXR2,1,HepG2,chr14_-_31128006_31127784_31123624_31123515_31123047_31122913_ENCSR003EKR_CTRL-1,-0.005,-0.07147337,0.00044479818,-0.07191817,1.0
FXR2_1_binding,FXR2,1,HepG2,chr14_+_32077288_32077435_32090501_32094386_32117139_32117287_ENCSR003EKR_CTRL-1,0.229,-0.011918053,0.000038341917,-0.011956395,0.0027659361610334545
FXR2_1_binding,FXR2,1,HepG2,chr14_+_71101989_71102220_71103394_71103669_71105234_71105440_ENCSR067GHD_CTRL-1,-0.02,-0.010588389,0.000031860513,-0.010620249,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_-_61223296_61223247_61223164_61223059_61221606_61221501_ENCSR003EKR_CTRL-1,-0.015,-0.008975932,0.000029534383,-0.0090054665,1.0
FXR2_1_binding,FXR2,1,HepG2,chr17_+_50746541_50746702_50750500_50750641_50750746_50750852_ENCSR003EKR_CTRL-1,-0.002,-0.009262776,-0.0032799554,-0.005982821,1.0
FXR2_1_binding,FXR2,1,HepG2,chr5_-_98868629_98868494_98863586_98863407_98860068_98859971_ENCSR003EKR_CTRL-1,-0.113,-0.010588389,0.000031860513,-0.010620249,0.06410897899914066
FXR2_1_binding,FXR2,1,HepG2,chr2_+_101855976_101856138_101859642_101859864_101864929_101865036_ENCSR003EKR_CTRL-1,-0.071,0.02629004,-0.0018019093,0.02809195,0.21279977663954705
FXR2_1_binding,FXR2,1,HepG2,chr2_+_101855976_101856138_101858995_101859082_101859642_101859864_ENCSR003EKR_CTRL-1,0.052,0.02662536,-0.0020224832,0.028647842,0.32163033271247543
FXR2_1_binding,FXR2,1,HepG2,chr2_+_32575155_32575366_32590805_32590978_32593914_32594060_ENCSR003EKR_CTRL-1,-0.005,-0.054442666,0.008118289,-0.06256095,1.0
FXR2_1_binding,FXR2,1,HepG2,chr17_-_1674680_1674441_1673892_1673745_1673567_1673356_ENCSR003EKR_CTRL-1,-0.012,0.023570376,0.00003402063,0.023536354,1.0
FXR2_1_binding,FXR2,1,HepG2,chr1_-_244857717_244857597_244856856_244856727_244856625_244856282_ENCSR067GHD_CTRL-1,-0.002,0.040646948,-0.0037014552,0.044348404,1.0
FXR2_1_binding,FXR2,1,HepG2,chr16_-_8963422_8963206_8930397_8930292_8923413_8923214_ENCSR003EKR_CTRL-1,0.006,-0.010049497,0.000028360071,-0.0100778565,1.0
FXR2_1_binding,FXR2,1,HepG2,chr8_+_17962033_17962174_17963100_17963291_17964567_17964768_ENCSR003EKR_CTRL-1,0.009,-0.010115263,-0.00014803578,-0.0099672275,1.0
FXR2_1_binding,FXR2,1,HepG2,chr12_-_39337203_39337095_39333280_39333211_39333107_39332892_ENCSR003EKR_CTRL-1,0.013,-0.010049497,0.000028360071,-0.0100778565,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_+_54623478_54623596_54624803_54624962_54625931_54626234_ENCSR003EKR_CTRL-1,-0.004,0.00015823609,-0.00035713208,0.0005153682,1.0
FXR2_1_binding,FXR2,1,HepG2,chr3_-_47083946_47083719_47081083_47080800_47067118_47067069_ENCSR003EKR_CTRL-2,0.201,-0.01209758,0.00009800629,-0.012195586,0.03214040909509923
FXR2_1_binding,FXR2,1,HepG2,chr4_-_186597792_186597681_186597171_186597033_186595826_186595688_ENCSR003EKR_CTRL-1,-0.025,-0.010588389,0.000031860513,-0.010620249,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_+_101859642_101859864_101860824_101860986_101864929_101865036_ENCSR003EKR_CTRL-1,0.078,0.0057946905,-0.00042965246,0.006224343,0.4048477909135576
FXR2_1_binding,FXR2,1,HepG2,chr2_-_61227218_61227066_61223296_61223247_61221606_61221501_ENCSR237YZT_CTRL-1,-0.05,-0.009126915,-0.000032075728,-0.009094839,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_+_101877002_101877146_101882550_101882685_101885186_101885287_ENCSR003EKR_CTRL-1,0.002,-0.01524995,0.0011041334,-0.016354084,1.0
FXR2_1_binding,FXR2,1,HepG2,chr6_-_56530133_56529973_56529774_56529447_56528925_56528840_ENCSR003EKR_CTRL-1,0.008,-0.0104970075,0.00007585193,-0.010572859,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_+_135770570_135770735_135776248_135776351_135778947_135779079_ENCSR067GHD_CTRL-1,0.04,-0.020812267,0.0048720925,-0.02568436,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_+_54599091_54599243_54612160_54612334_54616206_54616298_ENCSR003EKR_CTRL-1,-0.002,-0.007507813,0.00046155052,-0.007969364,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_-_231457800_231457642_231457357_231457285_231457124_231457000_ENCSR003EKR_CTRL-1,-0.01,0.0108453985,-0.0005498491,0.011395248,1.0
FXR2_1_binding,FXR2,1,HepG2,chr2_+_135770570_135770735_135772419_135772547_135778947_135779079_ENCSR067GHD_CTRL-1,0.022,-0.020664707,0.004868592,-0.0255333,1.0
FXR2_1_binding,FXR2,1,HepG2,chr14_+_74821056_74821137_74824255_74824307_74829212_74829343_ENCSR003EKR_CTRL-1,-0.006,-0.011298772,0.00010203238,-0.011400804,1.0
FXR2_1_binding,FXR2,1,HepG2,chr9_+_128584281_128584525_128584720_128584843_128585747_128585965_ENCSR003EKR_CTRL-1,-0.007,0.010978424,-0.000569114,0.0115475375,1.0
