Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
RPS3_1_binding,RPS3,1,K562,chr17_+_59619857_59620173_59644275_59644483_59647397_59647447_ENCSR032YMP_CTRL-1,0.0,-0.06207065,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_17413178_17413072_17412194_17412121_17410051_17409973_ENCSR031RRO_CTRL-1,-0.001,-0.009561256,1.0
RPS3_1_binding,RPS3,1,K562,chr11_+_760121_760253_763343_763519_763746_763850_ENCSR032YMP_CTRL-1,-0.0,-0.0067857555,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_41861111_41861212_41863870_41863985_41869030_41869192_ENCSR031RRO_CTRL-1,-0.0,-0.102378264,1.0
RPS3_1_binding,RPS3,1,K562,chr7_+_103364142_103364307_103366075_103366163_103367412_103367615_ENCSR031RRO_CTRL-1,0.005,-0.015507567,1.0
RPS3_1_binding,RPS3,1,K562,chr10_-_124412200_124411972_124408965_124408740_124408637_124408541_ENCSR032YMP_CTRL-1,-0.001,-0.006167218,1.0
RPS3_1_binding,RPS3,1,K562,chr1_+_156137112_156137232_156137653_156137743_156138487_156138607_ENCSR031RRO_CTRL-1,-0.006,-0.09635948,1.0
RPS3_1_binding,RPS3,1,K562,chr7_+_127694827_127694948_127698874_127698953_127701162_127701213_ENCSR031RRO_CTRL-1,0.0,-0.008747442,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_54053192_54052999_54047372_54047266_54043525_54043372_ENCSR031RRO_CTRL-1,-0.076,-0.061574835,0.17355465761526773
RPS3_1_binding,RPS3,1,K562,chr12_-_56673065_56672951_56671847_56671748_56664800_56664775_ENCSR718EWL_CTRL-2,-0.01,-0.009781072,1.0
RPS3_1_binding,RPS3,1,K562,chr6_+_35468407_35468439_35468946_35469529_35470178_35470351_ENCSR031RRO_CTRL-1,0.0,-0.08544961,1.0
RPS3_1_binding,RPS3,1,K562,chr5_-_138560091_138559863_138558657_138558552_138557986_138557868_ENCSR031RRO_CTRL-1,-0.0,-0.008882611,1.0
RPS3_1_binding,RPS3,1,K562,chr11_-_61329584_61329362_61325708_61325610_61324137_61323757_ENCSR913CAE_CTRL-1,-0.001,-0.0029612868,1.0
RPS3_1_binding,RPS3,1,K562,chr19_-_48617415_48617315_48616824_48616725_48616202_48616078_ENCSR031RRO_CTRL-1,0.0,-0.1660299,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_17438522_17438229_17429199_17429105_17425684_17425540_ENCSR084SCN_CTRL-1,0.001,-0.008818578,1.0
RPS3_1_binding,RPS3,1,K562,chr16_+_70565367_70565524_70567410_70567536_70568282_70568495_ENCSR031RRO_CTRL-1,0.002,-0.002278335,1.0
RPS3_1_binding,RPS3,1,K562,chr14_-_21269392_21269297_21268668_21268622_21263829_21263666_ENCSR031RRO_CTRL-1,-0.001,-0.032564737,1.0
RPS3_1_binding,RPS3,1,K562,chr7_-_54757594_54757494_54755881_54755778_54752420_54752249_ENCSR031RRO_CTRL-1,0.002,-0.005503848,1.0
RPS3_1_binding,RPS3,1,K562,chr7_+_127844323_127844424_127887901_127888012_127904746_127904819_ENCSR031RRO_CTRL-1,-0.002,-0.009856331,1.0
RPS3_1_binding,RPS3,1,K562,chr6_-_109382410_109382203_109379662_109379578_109377971_109377899_ENCSR031RRO_CTRL-1,0.0,-0.015215062,1.0
RPS3_1_binding,RPS3,1,K562,chr22_+_37676998_37677065_37678375_37678654_37679602_37679802_ENCSR031RRO_CTRL-1,0.022,-0.17109808,0.6371480841524226
RPS3_1_binding,RPS3,1,K562,chr17_+_59681646_59681839_59682270_59682428_59682628_59682793_ENCSR031RRO_CTRL-1,-0.0,-0.023711428,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_58544468_58545097_58545424_58545537_58545763_58545896_ENCSR031RRO_CTRL-1,-0.0,-0.012748848,1.0
RPS3_1_binding,RPS3,1,K562,chr4_-_144116939_144116853_144114767_144114688_144111410_144109302_ENCSR031RRO_CTRL-1,-0.033,-0.017117377,6.555443620040918e-10
RPS3_1_binding,RPS3,1,K562,chr19_+_572609_572701_579508_579656_580378_580461_ENCSR031RRO_CTRL-1,0.015,-0.009446852,0.00018709979673101087
RPS3_1_binding,RPS3,1,K562,chr15_-_64162154_64162040_64160197_64160103_64156909_64156724_ENCSR032YMP_CTRL-1,-0.002,-0.018754216,1.0
RPS3_1_binding,RPS3,1,K562,chr20_+_62387610_62387674_62387842_62387914_62388308_62388364_ENCSR031RRO_CTRL-1,-0.004,-0.06250986,1.0
RPS3_1_binding,RPS3,1,K562,chr6_-_159789572_159789404_159788143_159788057_159787871_159787742_ENCSR031RRO_CTRL-1,-0.041,-0.0059764804,1.2689574067294474e-9
RPS3_1_binding,RPS3,1,K562,chr13_+_28662409_28662507_28664508_28664569_28668472_28668574_ENCSR092WKG_CTRL-1,0.001,-0.009048768,1.0
RPS3_1_binding,RPS3,1,K562,chr4_-_55636259_55636080_55630460_55630401_55609179_55609119_ENCSR084SCN_CTRL-1,0.003,-0.0058011482,1.0
RPS3_1_binding,RPS3,1,K562,chr16_+_30067449_30068978_30069305_30069389_30069498_30069547_ENCSR031RRO_CTRL-1,-0.0,-0.07279972,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_54342205_54342287_54347999_54348051_54349619_54349658_ENCSR143COQ_CTRL-1,-0.005,-0.005071341,1.0
RPS3_1_binding,RPS3,1,K562,chr7_-_22822791_22822676_22818048_22817999_22813185_22812631_ENCSR031RRO_CTRL-1,-0.0,-0.0041774334,1.0
RPS3_1_binding,RPS3,1,K562,chr11_-_14510951_14510871_14507766_14507655_14505248_14504873_ENCSR031RRO_CTRL-1,-0.001,-0.00996728,1.0
RPS3_1_binding,RPS3,1,K562,chr5_+_10261559_10261745_10262480_10262618_10263133_10263314_ENCSR031RRO_CTRL-1,-0.0,-0.0044058273,1.0
RPS3_1_binding,RPS3,1,K562,chr12_+_56160242_56160320_56160625_56160670_56161386_56161550_ENCSR031RRO_CTRL-1,0.007,-0.20244142,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_49007017_49007147_49007301_49007368_49009775_49009871_ENCSR031RRO_CTRL-1,-0.003,-0.015006879,1.0
RPS3_1_binding,RPS3,1,K562,chr5_-_43298975_43298517_43297166_43297001_43295917_43295751_ENCSR129RWD_CTRL-1,0.0,-0.016329814,1.0
RPS3_1_binding,RPS3,1,K562,chr3_-_156555117_156554956_156553781_156553654_156549003_156548865_ENCSR031RRO_CTRL-1,0.001,-0.0048547657,1.0
RPS3_1_binding,RPS3,1,K562,chr19_+_41861111_41861212_41869030_41869214_41871350_41871416_ENCSR031RRO_CTRL-1,-0.0,-0.010143587,1.0
RPS3_1_binding,RPS3,1,K562,chr1_-_110407664_110407585_110406379_110406317_110404036_110403608_ENCSR031RRO_CTRL-1,0.001,-0.0024482473,1.0
RPS3_1_binding,RPS3,1,K562,chr5_-_138571141_138570959_138569049_138568924_138567722_138567648_ENCSR084SCN_CTRL-1,-0.0,-0.011544961,1.0
RPS3_1_binding,RPS3,1,K562,chr14_+_77708113_77708208_77710554_77710665_77710837_77710896_ENCSR031RRO_CTRL-1,0.001,-0.027180498,1.0
RPS3_1_binding,RPS3,1,K562,chr19_-_12800299_12800176_12799989_12799858_12797166_12796819_ENCSR031RRO_CTRL-1,-0.001,-0.005458578,1.0
RPS3_1_binding,RPS3,1,K562,chr6_-_31733672_31733565_31732398_31732216_31731003_31730580_ENCSR031RRO_CTRL-1,-0.0,-0.08839375,1.0
RPS3_1_binding,RPS3,1,K562,chr16_-_70265102_70264957_70262524_70262345_70261157_70261043_ENCSR031RRO_CTRL-1,0.004,-0.008389378,1.0
