Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
ZNF800_1_binding,ZNF800,1,K562,chr1_+_112649417_112649469_112653597_112653661_112654464_112654671_ENCSR031RRO_CTRL-1,-0.0,0.011288581,1.0
ZNF800_1_binding,ZNF800,1,K562,chr2_-_27384092_27383951_27382605_27382475_27382228_27382125_ENCSR031RRO_CTRL-1,0.005,-0.005565675,1.0
ZNF800_1_binding,ZNF800,1,K562,chr10_-_5796862_5796762_5794989_5794884_5786050_5785851_ENCSR031RRO_CTRL-1,0.021,-0.011258104,0.8753936752716296
ZNF800_1_binding,ZNF800,1,K562,chr6_+_163563419_163563719_163566720_163566795_163570693_163570741_ENCSR031RRO_CTRL-1,-0.01,-0.005988794,1.0
ZNF800_1_binding,ZNF800,1,K562,chr11_+_117152440_117152528_117159933_117160023_117163769_117163874_ENCSR031RRO_CTRL-1,0.005,-0.06142972,1.0
ZNF800_1_binding,ZNF800,1,K562,chr2_-_86159671_86159535_86158721_86158591_86151520_86151296_ENCSR031RRO_CTRL-1,-0.004,-0.015806558,1.0
ZNF800_1_binding,ZNF800,1,K562,chr1_-_51790649_51790532_51789657_51789567_51789433_51789190_ENCSR031RRO_CTRL-1,0.002,-0.010730988,1.0
ZNF800_1_binding,ZNF800,1,K562,chr2_-_10787439_10787280_10785030_10784933_10784326_10783390_ENCSR031RRO_CTRL-1,0.006,-0.08584601,1.0
ZNF800_1_binding,ZNF800,1,K562,chr7_+_2369471_2369682_2371776_2371849_2372672_2372795_ENCSR031RRO_CTRL-1,0.003,-0.056885015,1.0
ZNF800_1_binding,ZNF800,1,K562,chr10_+_42798467_42798625_42802136_42802218_42816598_42816672_ENCSR031RRO_CTRL-1,0.003,-0.011099568,1.0
ZNF800_1_binding,ZNF800,1,K562,chr22_+_37956772_37956842_37959345_37959476_37967098_37967170_ENCSR031RRO_CTRL-1,0.001,-0.010101217,1.0
ZNF800_1_binding,ZNF800,1,K562,chr1_-_53235635_53235576_53233652_53233541_53228954_53228871_ENCSR031RRO_CTRL-1,0.026,-0.013150577,1.0
ZNF800_1_binding,ZNF800,1,K562,chr19_+_10682536_10682704_10683124_10683262_10683365_10683542_ENCSR031RRO_CTRL-1,-0.001,-0.014867717,1.0
ZNF800_1_binding,ZNF800,1,K562,chr4_-_82371584_82371527_82358820_82358658_82357444_82357312_ENCSR031RRO_CTRL-1,-0.001,-0.00975676,1.0
ZNF800_1_binding,ZNF800,1,K562,chr2_+_171725617_171725713_171725918_171726081_171726790_171726913_ENCSR143COQ_CTRL-1,-0.006,-0.012076961,1.0
ZNF800_1_binding,ZNF800,1,K562,chr10_+_78037193_78037304_78048980_78049225_78054530_78054676_ENCSR143COQ_CTRL-1,0.274,-0.031014254,1.0
ZNF800_1_binding,ZNF800,1,K562,chr16_+_24123834_24123981_24154683_24154857_24172269_24172361_ENCSR031RRO_CTRL-1,0.013,0.011902006,1.0
ZNF800_1_binding,ZNF800,1,K562,chr11_+_755878_756002_759008_759057_760121_760253_ENCSR031RRO_CTRL-1,-0.006,-0.020450726,1.0
ZNF800_1_binding,ZNF800,1,K562,chr1_-_154172978_154172907_154172104_154172028_154170711_154170648_ENCSR031RRO_CTRL-1,-0.002,-0.039656688,1.0
ZNF800_1_binding,ZNF800,1,K562,chr11_-_61967453_61967311_61965112_61964986_61964891_61964284_ENCSR031RRO_CTRL-1,-0.0,0.0029164176,1.0
ZNF800_1_binding,ZNF800,1,K562,chr12_+_95494055_95494217_95494956_95495138_95496003_95496098_ENCSR031RRO_CTRL-1,-0.003,-0.04620527,1.0
ZNF800_1_binding,ZNF800,1,K562,chr19_+_34381465_34381519_34393247_34393308_34393727_34393771_ENCSR031RRO_CTRL-1,-0.002,-0.057845622,1.0
