Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL - KD Local SHAP,FDR
AGGF1_1_binding,AGGF1,1,HepG2,chr12_-_76049250_76049199_76048464_76048420_76047718_76046903_ENCSR042QTH_CTRL-1,0.002,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr11_+_34076559_34076642_34079627_34079765_34082824_34082877_ENCSR104ABF_CTRL-1,-0.004,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr2_-_241242540_241242459_241240122_241239900_241239820_241239601_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr12_+_121752127_121752223_121761648_121761738_121770906_121770972_ENCSR067GHD_CTRL-2,0.006,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr1_-_8015692_8015494_8015384_8015307_8014396_8011718_ENCSR003EKR_CTRL-1,-0.005,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr1_-_244857717_244857597_244856856_244856727_244856625_244856282_ENCSR067GHD_CTRL-1,0.001,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr11_+_130122304_130122513_130123611_130123779_130126699_130126830_ENCSR003EKR_CTRL-1,0.015,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr21_+_37191333_37191424_37192111_37192213_37195674_37196036_ENCSR003EKR_CTRL-1,0.002,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr1_-_8015692_8015494_8015400_8015307_8014396_8014039_ENCSR003EKR_CTRL-1,-0.012,0.0,0.8368038762601171
AGGF1_1_binding,AGGF1,1,HepG2,chr11_-_2135529_2135366_2133674_2133516_2133223_2129111_ENCSR237YZT_CTRL-1,-0.0,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr16_+_46915297_46916707_46918620_46918757_46922241_46922416_ENCSR003EKR_CTRL-1,0.0,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr15_+_25053827_25053967_25055073_25055230_25056482_25056565_ENCSR997HCQ_CTRL-2,0.001,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr13_+_113110678_113110850_113113751_113113776_113113846_113113960_ENCSR067GHD_CTRL-2,0.028,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr12_-_76049250_76049199_76048464_76048392_76047718_76044901_ENCSR042QTH_CTRL-1,0.001,0.0,1.0
AGGF1_1_binding,AGGF1,1,HepG2,chr16_-_21520179_21519827_21487616_21487577_21484535_21484371_ENCSR067GHD_CTRL-2,0.048,0.0,1.0
