Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173865282_173865228_173864304_173863900_ENCSR031RRO_CTRL-1,0.004,0.0018681372,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173864704_173864674_173864304_173863900_ENCSR129RWD_CTRL-2,-0.02,0.00093337183,1.0
NIPBL_1_binding,NIPBL,1,K562,chr10_+_68786545_68786692_68787926_68788047_68788142_68788316_ENCSR032YMP_CTRL-1,0.002,0.0018681372,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173865282_173865228_173864304_173863900_ENCSR031RRO_CTRL-1,0.002,0.0018681372,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853849_62853800_62853590_62853572_ENCSR031RRO_CTRL-1,-0.002,0.0018681372,1.0
NIPBL_1_binding,NIPBL,1,K562,chr10_-_100236969_100236849_100235764_100235666_100233371_100232297_ENCSR031RRO_CTRL-1,-0.024,0.0024394132,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62853590_62853551_62853115_62852831_ENCSR031RRO_CTRL-1,-0.002,0.0018681372,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865509_173864704_173864674_173864506_173864483_ENCSR031RRO_CTRL-1,-0.018,0.00093337183,1.0
NIPBL_1_binding,NIPBL,1,K562,chr1_-_173865547_173865470_173864704_173864674_173864506_173864483_ENCSR031RRO_CTRL-1,0.006,0.00093337183,1.0
NIPBL_1_binding,NIPBL,1,K562,chr11_-_62854551_62854518_62854064_62853800_62853590_62852810_ENCSR031RRO_CTRL-1,-0.001,0.0018681372,1.0
NIPBL_1_binding,NIPBL,1,K562,chr12_+_103939508_103939625_103941409_103941547_103941628_103941706_ENCSR031RRO_CTRL-1,-0.0,0.0018681372,1.0
