Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,FDR
STAU2_1_binding,STAU2,1,HepG2,chr11_-_61271760_61271674_61269079_61268921_61265212_61265121_ENCSR042QTH_CTRL-1,-0.028,0.0,1.0
STAU2_1_binding,STAU2,1,HepG2,chr11_-_61271760_61271674_61269018_61268921_61265212_61265121_ENCSR003EKR_CTRL-1,-0.058,0.0,1.0
STAU2_1_binding,STAU2,1,HepG2,chr14_+_39267123_39267522_39276933_39277065_39279448_39279537_ENCSR042QTH_CTRL-1,0.006,0.0,1.0
STAU2_1_binding,STAU2,1,HepG2,chr17_-_7174460_7174373_7174289_7174137_7174067_7173557_ENCSR042QTH_CTRL-1,-0.0,0.0,1.0
STAU2_1_binding,STAU2,1,HepG2,chr16_+_398207_399123_399378_399480_399626_399739_ENCSR003EKR_CTRL-1,0.003,0.0,1.0
STAU2_1_binding,STAU2,1,HepG2,chr14_+_39267123_39267522_39276933_39277065_39291018_39291096_ENCSR067GHD_CTRL-2,-0.018,0.0,1.0
STAU2_1_binding,STAU2,1,HepG2,chr14_+_39267123_39267522_39276933_39277065_39279336_39279358_ENCSR003EKR_CTRL-1,-0.0,0.0,1.0
STAU2_1_binding,STAU2,1,HepG2,chr14_+_39267123_39267522_39279448_39279537_39291018_39291096_ENCSR104ABF_CTRL-1,-0.005,0.0,1.0
STAU2_1_binding,STAU2,1,HepG2,chr14_+_39267123_39267522_39279336_39279358_39279448_39279537_ENCSR104ABF_CTRL-1,0.008,0.0,1.0
STAU2_2_binding,STAU2,2,HepG2,chr19_-_38921446_38921391_38920149_38920085_38919867_38919761_ENCSR067GHD_CTRL-1,-0.007,0.0,1.0
STAU2_3_binding,STAU2,3,HepG2,chr13_+_113105806_113105905_113106844_113106910_113110689_113110850_ENCSR997HCQ_CTRL-2,0.013,0.0,1.0
STAU2_3_binding,STAU2,3,HepG2,chr4_-_870904_870710_868685_868538_867432_866955_ENCSR003EKR_CTRL-1,-0.005,0.0,1.0
