ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
76022	"ENSG00000131469.8"	"RPL27"	chr17	+	41150765	41150842	41150452	41150488	41151949	41152119	76022	64,129	25,30	159,63	0,0	175	99	2.49023024423e-13	1.38307387765e-08	0.592,0.709	1.0,1.0	-0.35
40527	"ENSG00000142676.8"	"RPL11"	chr1	+	24021149	24021231	24020300	24020403	24022287	24022398	40527	10314,15175	142,23	10108,6550	197,83	180	99	1.89208770873e-09	3.50288504476e-05	0.976,0.997	0.966,0.977	0.015
67309	"ENSG00000122406.8"	"RPL5"	chr1	+	93298903	93299015	93297620	93297674	93299101	93299217	67309	6586,8425	200,284	8951,5299	138,71	197	99	1.68501268494e-09	3.50288504476e-05	0.943,0.937	0.97,0.974	-0.032
12180	"ENSG00000266976.1"	"AC079466.1"	chr19	+	29102879	29102968	29097594	29098011	29103345	29106136	12180	55,102	170,270	130,70	135,80	187	99	1.40024043471e-08	0.000129615589573	0.146,0.167	0.338,0.317	-0.171
58124	"ENSG00000156976.10"	"EIF4A2"	chr3	+	186506098	186506205	186505591	186505671	186506913	186507670	58124	252,226	1331,1803	383,242	1240,791	197	99	1.11677488368e-08	0.000129615589573	0.087,0.059	0.134,0.133	-0.061
67305	"ENSG00000122406.8"	"RPL5"	chr1	+	93298945	93299015	93297581	93297674	93299101	93299217	67305	10809,14075	200,284	14468,8242	138,71	168	99	1.19709295809e-08	0.000129615589573	0.97,0.967	0.984,0.986	-0.017
6084	"ENSG00000141551.10"	"CSNK1D"	chr17	-	80203851	80203915	80202269	80202707	80206750	80207372	6084	112,132	118,154	158,105	69,41	162	99	2.05259008679e-08	0.000162858362029	0.367,0.344	0.583,0.61	-0.241
39093	"ENSG00000231500.2"	"RPS18"	chr6	+	33243573	33243660	33240363	33240503	33243741	33243843	39093	46231,62743	0,6	43504,28292	784,2	185	99	4.24446199299e-08	0.000294671773863	1.0,1.0	0.967,1.0	0.016
12165	"ENSG00000266976.1"	"AC079466.1"	chr19	+	29101888	29103061	29097594	29098011	29103345	29106136	12165	929,1359	170,270	1426,803	135,80	197	99	4.11881985296e-07	0.00238305017619	0.733,0.717	0.841,0.835	-0.113
12171	"ENSG00000266976.1"	"AC079466.1"	chr19	+	29102879	29103061	29097594	29098011	29103345	29106136	12171	930,1359	170,270	1426,802	135,80	197	99	4.29069171082e-07	0.00238305017619	0.733,0.717	0.841,0.834	-0.112
