Feature,RBP-IS-KD-Target,Position,cell_line,index,dPSI,CTRL_SHAP,KD_SHAP,CTRL - KD Local SHAP,FDR
NOLC1_1_binding,NOLC1,1,K562,chr8_-_37875322_37874514_37873179_37871277_37870528_37870419_ENCSR031RRO_CTRL-1,-0.038,0.11994326,-0.0014811605,0.12142442,1.0
NOLC1_1_binding,NOLC1,1,K562,chr8_-_141254229_141253988_141221765_141221576_141219829_141219649_ENCSR620PUP_CTRL-2,0.107,0.300996,-0.0005673649,0.30156338,1.0
NOLC1_1_binding,NOLC1,1,K562,chr6_+_158589671_158589782_158605266_158605347_158608332_158608463_ENCSR031RRO_CTRL-1,-0.016,0.32797843,-0.00060571486,0.32858413,1.0
NOLC1_1_binding,NOLC1,1,K562,chr9_+_122286038_122286166_122291748_122291840_122313226_122313330_ENCSR031RRO_CTRL-1,-0.015,0.29878294,-0.00056409376,0.29934704,1.0
NOLC1_1_binding,NOLC1,1,K562,chr17_+_38753149_38753334_38755882_38755990_38760430_38760580_ENCSR031RRO_CTRL-1,0.001,0.30120596,-0.00063146185,0.3018374,1.0
NOLC1_1_binding,NOLC1,1,K562,chr11_+_62761582_62761660_62761794_62762184_62762866_62763026_ENCSR031RRO_CTRL-1,-0.005,0.3248767,-0.0006893401,0.32556602,1.0
NOLC1_1_binding,NOLC1,1,K562,chr15_-_66503529_66503357_66501504_66501374_66501105_66500948_ENCSR667PLJ_CTRL-1,-0.0,0.49174467,-0.0093985,0.50114316,1.0
NOLC1_1_binding,NOLC1,1,K562,chr1_-_173867043_173866990_173866796_173866527_173866206_173865856_ENCSR031RRO_CTRL-1,-0.0,0.51172507,-0.0071910257,0.5189161,1.0
NOLC1_1_binding,NOLC1,1,K562,chr8_-_37875322_37874514_37870528_37870419_37863113_37858617_ENCSR031RRO_CTRL-1,-0.01,0.17855647,-0.0015693192,0.18012579,1.0
NOLC1_1_binding,NOLC1,1,K562,chr18_-_49491814_49491625_49491445_49491404_49490927_49490792_ENCSR031RRO_CTRL-1,0.004,0.22459844,-0.0008689783,0.22546741,1.0
NOLC1_1_binding,NOLC1,1,K562,chr10_-_70213589_70213462_70210419_70210194_70209685_70209644_ENCSR031RRO_CTRL-1,-0.0,0.20458822,-0.00045368006,0.2050419,1.0
NOLC1_1_binding,NOLC1,1,K562,chr15_-_66503529_66503357_66503164_66502611_66501912_66501787_ENCSR031RRO_CTRL-1,-0.0,0.5736599,-0.009103039,0.58276296,1.0
NOLC1_1_binding,NOLC1,1,K562,chr2_-_197497392_197497139_197495376_197495293_197489247_197489001_ENCSR129RWD_CTRL-1,-0.004,0.30229387,-0.00056892366,0.3028628,1.0
